Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Falkland Islands (Malvinas)'s exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Falkland Islands (Malvinas) (%)	
"Free Zones"						186	0	-34		0.92		
"Seychelles"						187	0	-7	6627	0.06		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Grenada"						191	0	-1	4157	0.2		
"Comoros"						192	0	18	5731	0.22		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Central African Republic"						199	0	7	6606	0.08		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Nauru"						211	0	18	6014	0.27		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
